처음으로,다시하기
다시하기,다시하기
처음 으로,다시하기
다시,다시하기
취소,다시하기
처음,다시하기
다시 하기,다시하기
취소 하기,다시하기
리셋,다시하기
새로고침,다시하기
새로 고침,다시하기
재시작하기,다시하기
어느 터미널로 가야해?,터미널확인
터미널 확인,터미널확인
터미널 검색,터미널확인
탑승 터미널 확인법,터미널확인
@airline 타는 곳,터미널확인
탑승하는 곳 확인,터미널확인
@airline은 어디서 타?,터미널확인
비행기 탑승구 확인,터미널확인
고객 센터 연결해줘,고객센터연결
고객센터 번호 안내,고객센터연결
고객 센터 번호,고객센터연결
고객 센터 번호가 뭐야,고객센터연결
전화 번호가 뭐니,고객센터연결
센터 전화 번호 알려줘,고객센터연결
공항 가는길 알려줄래,공항위치안내
공항 위치 안내,공항위치안내
공항은 뭐타고 가야해?,공항위치안내
제 2 터미널 위치 안내,공항위치안내
제 1 터미널은 어떻게 가?,공항위치안내
공항 가는 교통편,공항위치안내
공항 대중교통 알려줘,공항위치안내
공항 편의 시설 알려줄래,공항편의시설
공항에 영화관이 있니,공항편의시설
환전할 수 있는 곳이 있어?,공항편의시설
공항 호텔은 어디에 있어?,공항편의시설
공항 안내 데스크 어디야?,공항편의시설
수유실은 어디있어?,공항편의시설
편의 시설 목록 안내,공항편의시설
편의 시설 알려줘,공항편의시설
쇼핑 할 수 있는 곳,공항편의시설
주차 요금 알려줘,주차요금안내
공항에 주차하면 시간당 얼마니,주차요금안내
주차비 얼마야,주차요금안내
공항 주차 요금 안내,주차요금안내
주차 요금 안내,주차요금안내
무슨 항공사가 있어?,취항항공사안내
항공사 목록 보여줘,취항항공사안내
취항 항공사 목록 알려줄래,취항항공사안내
취항 항공사 목록,취항항공사안내
어느 항공사가 있니,취항항공사안내
항공편 뭐뭐 있니,취항항공사안내
항공사 목록,취항항공사안내
취항 항공사 알려줄래,취항항공사안내
취항 항공편 알려줘,취항항공사안내
탑승 수속은 언제부터 가능한가요?,탑승수속시작시간
항공사 체크인 시작 언제에요?,탑승수속시작시간
체크인 카운터 언제부터 열어요,탑승수속시작시간
체크인 카운터 오픈 시간,탑승수속시작시간
탑승 수속 오픈 시간,탑승수속시작시간
반입 제한 물품 안내,휴대반입제한물품
액체류 반입 제한 확인,휴대반입제한물품
액체 반입 확인,휴대반입제한물품
물 들고 가도 되나요?,휴대반입제한물품
김치 들고가도 돼요,휴대반입제한물품
칼 기내 반입이 가능한가요,휴대반입제한물품
로션 들고 타도 되나요,휴대반입제한물품
스킨 비행기 반입 가능하나요,휴대반입제한물품
@prohibited_items 반입 가능한가요,휴대반입제한물품
@prohibited_items 반입 안내,휴대반입제한물품
비행기에 @prohibited_items 들고 타도 되요?,휴대반입제한물품
위탁 수하물로 @prohibited_items 가능한가요,휴대반입제한물품
@prohibited_items 위탁 수하 가능한가요,휴대반입제한물품
@prohibited_items 반입 제한,휴대반입제한물품
기내 수하물 무게 제한이 어떻게 돼?,수하물무게크기제한
기내 수하물은 제한이 어떻게 되나요,수하물무게크기제한
수하물 크기 제한 알려주세요,수하물무게크기제한
내 수하물 무게가 제한될까?,수하물무게크기제한
수하물 제한 알려주세요,수하물무게크기제한
기내 수하물 제한 알려줘,수하물무게크기제한
@airline 기내 수하물 제한이 뭐에요?,수하물무게크기제한
